motif_index_0based,motif_id,motif_title,motif_gloss,description_present,tradition_frequency,tradition_prevalence
800,i3_3,Weapons of Thunder,"The lightning (and thunder) is (produced with) an object (axe, sword, mirror, belt, stones, skin, etc.) in hands of anthropomorphic being",True,164,0.1771058315334773
801,i4a_10,Thunder in trouble: falls to earth,"Thunder falls to earth, cannot return to the sky. Usually a human person helps him to do it",True,26,0.028077753779697623
802,i4b_10,Thunder in trouble: fights with his enemy,A man helps Thunder who fights with his enemy,True,21,0.02267818574514039
803,i4c_10,The imprisoned Thunder,Thunder-god is temporarily overcome and imprisoned by his ebemy,True,3,0.0032397408207343412
804,i4d_10,Thunder’s instrument stolen,"Thunder’s instrument is stolen from him. He or his helper comes unrecognized to the thief, gets his instrument and kills the enemies",True,13,0.014038876889848811
805,i5_3,Thunder is an animal,"Thunder looks like a quadruped mammal (pig, buffalo, camel, anteater, tapir, dog, cat, leopard, monkey, etc.)",True,41,0.04427645788336933
806,i5a_3,Thunderous tapir,"Tapir is associated with the upper world, usually with the thunder",True,6,0.0064794816414686825
807,i6_3,Weather birds,"A man gets to the nest of giant birds. When the birds come, they bring with them clouds, rain, hail, etc. Usually, nestlings tell the man what kind of weather their father or mother brings",True,39,0.042116630669546434
808,i6a_3,Male and female birds: different kinds of precipitation,"The male and the female birds bring with them different kinds of precipitations (e.g. the male comes with a hail, the female with a rain)",True,28,0.03023758099352052
809,i7_3,The cloud serpent,"A flying reptile produces rain, thunderstorm",True,70,0.0755939524838013
810,i7a_3,The lightning- serpent,The lightning is associated with a snake,True,9,0.009719222462203024
811,i8c_3,The suspended earth,The earth does not fall down or swing because it is suspended to ropes,True,27,0.029157667386609073
812,i8e_3,Four supports of the world,"The sky or the earth rests upon four or five (cardinal points and the center) supports of any kind (poles, mountains, giants)",True,99,0.10691144708423327
813,i8f_3,One support of the world,Only one pole or mountain supports the earth or the sky,True,65,0.07019438444924406
814,i8g_3,Atlas,One giant supports the earth or the sky,True,64,0.06911447084233262
815,i8h_3,A man and a woman hold the earth,"Two anthropomorphic beings, a male and a female, are in the underworld and support the earth",True,5,0.005399568034557235
816,i8i_3,Original earth unstable,"Originally the earth was unstable and swung, then it was fixed up",True,35,0.03779697624190065
817,i9_3,Colors of the cardinal directions,Four cardinal directions and/or some objects associated with them are associated with different colors,True,81,0.08747300215982722
818,i10a_3,Colored layers of the sky,Different sky levels or different categories of clouds have different colors,True,15,0.016198704103671708
819,i10b_3,Colored layers of the earth,Particular layers or categories of the earth have different colors,True,8,0.008639308855291577
820,i11_3,Cosmic turtle or toad,"A turtle, toad, or frog supports the earth or is its embodiment",True,59,0.06371490280777538
821,i12_3,The world axis,A tree or post pierces and unites different layers of the universe,True,41,0.04427645788336933
